"site","year","type","abund_code","species_code","name"
51,1993,"tree",1,746.00,"Quaking Aspen"
51,1994,"tree",1,746.00,"Quaking Aspen"
52,1991,"tree",1,746.00,"Quaking Aspen"
52,1992,"tree",1,375.00,"Paper Birch"
52,1993,"tree",1,746.00,"Quaking Aspen"
52,1994,"tree",1,746.00,"Quaking Aspen"
53,1991,"tree",1,375.00,"Paper Birch"
53,1992,"tree",1,951.00,"Basswood"
53,1993,"tree",1,833.00,"Northern Red Oak"
53,1994,"tree",1,746.00,"Quaking Aspen"
54,1991,"tree",1,375.00,"Paper Birch"
54,1992,"tree",1,951.00,"Basswood"
54,1993,"tree",1,823.00,"Burr Oak"
54,1994,"tree",1,746.00,"Quaking Aspen"
55,1991,"tree",1,375.00,"Paper Birch"
55,1992,"tree",1,375.00,"Paper Birch"
55,1993,"tree",1,375.00,"Paper Birch"
55,1994,"tree",1,375.00,"Paper Birch"
56,1991,"tree",1,951.00,"Basswood"
56,1992,"tree",1,318.00,"Sugar Maple"
56,1993,"tree",1,833.00,"Northern Red Oak"
56,1994,"tree",1,746.00,"Quaking Aspen"
57,1991,"tree",1,375.00,"Paper Birch"
57,1992,"tree",1,802.00,"White Oak"
57,1993,"tree",1,375.00,"Paper Birch"
57,1994,"tree",1,375.00,"Paper Birch"
58,1991,"tree",1,833.00,"Northern Red Oak"
58,1992,"tree",1,802.00,"White Oak"
58,1993,"tree",1,833.00,"Northern Red Oak"
58,1994,"tree",1,833.00,"Northern Red Oak"
59,1991,"tree",1,833.00,"Northern Red Oak"
59,1992,"tree",1,802.00,"White Oak"
59,1993,"tree",1,823.00,"Burr Oak"
59,1994,"tree",1,802.00,"White Oak"
60,1991,"tree",1,375.00,"Paper Birch"
60,1992,"tree",1,316.00,"Red Maple"
60,1993,"tree",1,823.00,"Burr Oak"
60,1994,"tree",1,375.00,"Paper Birch"
61,1991,"tree",1,316.00,"Red Maple"
61,1992,"tree",1,318.00,"Sugar Maple"
61,1993,"tree",1,316.00,"Red Maple"
61,1994,"tree",1,318.00,"Sugar Maple"
62,1991,"tree",1,316.00,"Red Maple"
62,1992,"tree",1,318.00,"Sugar Maple"
62,1993,"tree",1,823.00,"Burr Oak"
