"fstype","fstypename","fine3","newname","age","age_class","age2","upl_low","broad","broad2","con","con_decid_mixed","decid","fine1","fine2"
"154","Tamarack","msc pole","Tamarack/Bl. spruce","pole","pole","non-regen","low","lowl conif","lowl conif","conif","conif","not decid","lowl conif","bs"
"155","Tamarack","msc pole","Tamarack/Bl. spruce","pole","pole","non-regen","low","lowl conif","lowl conif","conif","conif","not decid","lowl conif","bs"
"156","Tamarack","msc pole","Tamarack/Bl. spruce","pole","pole","non-regen","low","lowl conif","lowl conif","conif","conif","not decid","lowl conif","bs"
"157","Tamarack",,"Tamarack/Bl. spruce","saw",,"non-regen",,,"lowl conif",,,,,
"158","Tamarack",,"Tamarack/Bl. spruce","saw",,"non-regen",,,"lowl conif",,,,,
"159","Tamarack",,"Tamarack/Bl. spruce","saw",,"non-regen",,,"lowl conif",,,,,
"161","White spruce/Fir","conif regen","White spruce/Fir","regeneration","regen","regen","upl","upl conif","upl conif regen","conif","conif","not decid","upl regen","not used"
"162","White spruce/Fir","conif regen","White spruce/Fir","regeneration","regen","regen","upl","upl conif","upl conif regen","conif","conif","not decid","upl regen","not used"
"163","White spruce/Fir","conif regen","White spruce/Fir","regeneration","regen","regen","upl","upl conif","upl conif regen","conif","conif","not decid","upl regen","not used"
"164","White spruce/Fir",,"White spruce/Fir","pole",,,,,"upl conif",,,,,
"165","White spruce/Fir",,"White spruce/Fir","pole",,,,,"upl conif",,,,,
"717","Ash/Elm/Red maple","aem saw","Ash/Elm/Red maple","saw","saw","non-regen","low","lowl decid","lowl decid","not conif","decid","decid","lowl decid","aem"
"718","Ash/Elm/Red maple","aem saw","Ash/Elm/Red maple","saw","saw","non-regen","low","lowl decid","lowl decid","not conif","decid","decid","lowl decid","aem"
"719","Ash/Elm/Red maple","aem saw","Ash/Elm/Red maple","saw","saw","non-regen","low","lowl decid","lowl decid","not conif","decid","decid","lowl decid","aem"
"811","Maple/Beech",,"Maple/Beech/Mixed","regeneration",,,,,"upl decid regen",,,,,
"812","Maple/Beech",,"Maple/Beech/Mixed","regeneration",,,,,"upl decid regen",,,,,
"813","Maple/Beech",,"Maple/Beech/Mixed","regeneration",,,,,"upl decid regen",,,,,
"814","Maple/Beech",,"Maple/Beech/Mixed","pole",,,,,"upl decid",,,,,
"815","Maple/Beech",,"Maple/Beech/Mixed","pole",,,,,"upl decid",,,,,
"816","Maple/Beech",,"Maple/Beech/Mixed","pole",,,,,"upl decid",,,,,
"817","Maple/Beech","maple saw","Maple/Beech/Mixed","saw","saw","non-regen","upl","upl decid","upl decid","not conif","decid","decid","maple","maple"
"818","Maple/Beech","maple saw","Maple/Beech/Mixed","saw","saw","non-regen","upl","upl decid","upl decid","not conif","decid","decid","maple","maple"
"819","Maple/Beech","maple saw","Maple/Beech/Mixed","saw","saw","non-regen","upl","upl decid","upl decid","not conif","decid","decid","maple","maple"
