"site","x_coord","y_coord"
504.00,589075.93,5282852.50
506.00,589556.62,5282865.00
507.00,589727.62,5282687.50
508.00,589506.43,5282592.00
505.00,589315.50,5282848.50
515.00,600818.37,5311621.50
517.00,600400.87,5311320.50
516.00,600620.18,5311447.50
902.00,635177.75,5270796.50
904.00,635052.43,5271356.50
415.00,630124.87,5289841.50
416.00,630337.37,5289746.00
418.00,630458.37,5289558.00
807.00,598295.12,5287002.50
808.00,598469.12,5287032.50
797.00,599105.25,5288843.50
802.00,599325.81,5289601.50
801.00,599279.68,5289385.50
800.00,599224.18,5289146.50
799.00,599086.75,5288623.50
798.00,599362.06,5288974.50
788.00,611435.93,5314964.00
789.00,611630.43,5314866.50
790.00,611877.37,5314829.50
794.00,612124.31,5314754.50
795.00,612401.18,5314724.50
796.00,612670.56,5314799.50
575.00,554908.37,5331172.00
576.00,554695.56,5331151.00
577.00,554847.56,5331357.50
566.00,552564.25,5330689.00
567.00,552701.06,5330859.00
568.00,552780.12,5330652.50
569.00,553561.50,5330512.50
570.00,553546.31,5330758.50
572.00,553123.68,5330859.00
571.00,553330.43,5330807.50
573.00,553184.50,5330667.50
574.00,553260.50,5330460.50
680.00,551294.81,5331365.50
681.00,551370.81,5331569.00
682.00,551509.25,5331740.00
683.00,551712.75,5331816.00
684.00,551794.18,5332016.50
685.00,551802.31,5332236.50
679.00,550781.87,5331539.00
678.00,550564.81,5331563.50
677.00,550540.37,5331778.00
676.00,550752.06,5331789.00
675.00,550925.75,5331661.00
674.00,551042.43,5331468.50
578.00,548369.43,5330430.50
579.00,548591.18,5330425.50
580.00,548808.37,5330439.50
583.00,547888.93,5331257.50
582.00,547944.37,5331026.50
581.00,548069.12,5330823.00
586.00,546248.43,5332889.00
585.00,546463.56,5332829.50
584.00,546682.62,5332837.50
589.00,544235.81,5333179.50
588.00,544471.93,5333222.50
587.00,544838.00,5333240.00
710.00,547388.87,5330032.50
711.00,547551.81,5329945.00
712.00,547756.93,5329970.50
713.00,547762.56,5329762.50
714.00,547852.50,5329588.50
715.00,548001.37,5329450.50
720.00,546775.06,5329150.50
721.00,546915.87,5328996.00
719.00,546611.43,5329337.00
717.00,546412.56,5329267.00
718.00,546282.31,5329094.50
646.00,547092.81,5327008.50
645.00,547263.68,5326905.00
644.00,547458.62,5326866.00
650.00,547830.37,5326904.50
651.00,547869.18,5327109.00
652.00,547891.12,5327309.50
641.00,548593.06,5326864.00
642.00,548577.87,5327066.50
643.00,548613.31,5327274.00
639.00,548803.93,5327031.00
638.00,548959.18,5327190.00
626.00,549557.00,5327558.00
627.00,549790.75,5327591.00
628.00,549692.56,5327390.00
630.00,550174.06,5326838.00
631.00,549968.37,5326796.00
632.00,549851.50,5326964.50
629.00,549108.31,5326053.00
633.00,549173.75,5326282.00
634.00,549276.56,5326478.50
635.00,549585.06,5325973.50
636.00,549599.06,5326193.00
